fight_id,datetime,label,is_draw,red_id,red_kd,red_ss,red_ss_attempted,red_total,red_total_attempted,red_td,red_td_attempted,red_sub_attempted,red_control_min,red_control_sec,red_ss_head,red_ss_head_attempted,red_ss_body,red_ss_body_attempted,red_ss_leg,red_ss_leg_attempted,red_ss_distance,red_ss_distance_attempted,red_ss_clinch,red_ss_clinch_attempted,red_ss_ground,red_ss_ground_attempted,blue_id,blue_kd,blue_ss,blue_ss_attempted,blue_total,blue_total_attempted,blue_td,blue_td_attempted,blue_sub_attempted,blue_control_min,blue_control_sec,blue_ss_head,blue_ss_head_attempted,blue_ss_body,blue_ss_body_attempted,blue_ss_leg,blue_ss_leg_attempted,blue_ss_distance,blue_ss_distance_attempted,blue_ss_clinch,blue_ss_clinch_attempted,blue_ss_ground,blue_ss_ground_attempted
366de1daf05a2b62,1340427600,0,0,fa37628269132d1a,0,32,83,74.0,129.0,0.0,4.0,1.0,1.0,5.0,16.0,61.0,6.0,9,10.0,13,24,71,1.0,1.0,7.0,11.0,b71ce838b01f2cad,0.0,36.0,76.0,60.0,100.0,0.0,2.0,0.0,4.0,30.0,13.0,46.0,16.0,22.0,7.0,8.0,25.0,63.0,2.0,4.0,9.0,9.0
2c5d329bdf182468,1436590800,0,0,99c7610aa74995d3,0,45,87,62.0,104.0,0.0,2.0,1.0,0.0,45.0,11.0,44.0,20.0,26,14.0,17,24,62,21.0,25.0,0.0,0.0,fc31f896cde2bc2e,0.0,48.0,88.0,78.0,119.0,0.0,1.0,0.0,1.0,35.0,35.0,71.0,5.0,8.0,8.0,9.0,31.0,60.0,16.0,27.0,1.0,1.0
b4555cd5b5d2a53f,1377925200,1,0,60029bcf496bd707,0,29,42,107.0,128.0,4.0,4.0,0.0,7.0,36.0,26.0,39.0,2.0,2,1.0,1,4,6,7.0,12.0,18.0,24.0,1091d4d957141094,0.0,45.0,68.0,98.0,123.0,0.0,1.0,2.0,2.0,17.0,37.0,59.0,6.0,7.0,2.0,2.0,6.0,17.0,39.0,51.0,0.0,0.0
71e123d40fff9edb,1429938000,0,0,ffdeb4fbea09ce75,0,46,107,60.0,125.0,1.0,5.0,1.0,6.0,18.0,26.0,78.0,17.0,24,3.0,5,29,84,11.0,14.0,6.0,9.0,46a2f24feb258ae0,0.0,38.0,124.0,50.0,136.0,2.0,2.0,2.0,0.0,55.0,17.0,93.0,10.0,14.0,11.0,17.0,27.0,101.0,10.0,22.0,1.0,1.0
e7ca291dd8f5661b,810536400,1,0,597db668b01c442c,1,33,59,54.0,84.0,0.0,0.0,0.0,,,9.0,25.0,0.0,0,24.0,34,27,49,2.0,3.0,4.0,7.0,07a18ae55dfc3cd9,0.0,10.0,30.0,36.0,63.0,0.0,0.0,1.0,,,3.0,19.0,2.0,2.0,5.0,9.0,7.0,27.0,3.0,3.0,0.0,0.0
fb9b03644f559604,1265436000,1,0,ccd1299e0345e0ce,0,34,81,39.0,86.0,0.0,0.0,0.0,1.0,36.0,23.0,65.0,6.0,10,5.0,6,24,63,2.0,6.0,8.0,12.0,cce79e827569f26e,0.0,6.0,49.0,44.0,91.0,5.0,13.0,1.0,5.0,43.0,6.0,46.0,0.0,3.0,0.0,0.0,5.0,40.0,1.0,5.0,0.0,4.0
71afa8354da2491e,1667624400,1,0,f29a6350c69f4a33,0,63,108,172.0,240.0,5.0,8.0,1.0,9.0,14.0,43.0,85.0,14.0,16,6.0,7,38,80,3.0,3.0,22.0,25.0,568bbad0eaced57c,0.0,29.0,82.0,29.0,82.0,0.0,0.0,0.0,0.0,0.0,20.0,73.0,5.0,5.0,4.0,4.0,29.0,82.0,0.0,0.0,0.0,0.0
147c04a6798a69c3,1349413200,1,0,6546af7ab545b90c,0,7,43,16.0,55.0,0.0,0.0,2.0,2.0,0.0,4.0,33.0,0.0,5,3.0,5,7,37,0.0,2.0,0.0,4.0,ba043b03eb799063,0.0,10.0,57.0,13.0,62.0,2.0,3.0,0.0,2.0,34.0,3.0,42.0,2.0,6.0,5.0,9.0,3.0,44.0,6.0,10.0,1.0,3.0
61070325bb440f58,1508562000,1,0,bf43fed8f29e1671,0,19,89,59.0,137.0,3.0,10.0,1.0,7.0,25.0,17.0,84.0,1.0,4,1.0,1,15,80,0.0,1.0,4.0,8.0,b7b84ccd221be298,1.0,27.0,75.0,43.0,94.0,1.0,1.0,0.0,1.0,21.0,18.0,63.0,5.0,7.0,4.0,5.0,24.0,70.0,2.0,3.0,1.0,2.0
5f6b8e48e7d3b66f,1460264400,0,0,bd58d34e39b7b12a,0,77,212,78.0,213.0,0.0,0.0,0.0,0.0,1.0,51.0,179.0,7.0,12,19.0,21,75,210,2.0,2.0,0.0,0.0,63def5a5662a6917,0.0,157.0,247.0,157.0,247.0,0.0,0.0,0.0,0.0,2.0,65.0,147.0,92.0,100.0,0.0,0.0,156.0,246.0,1.0,1.0,0.0,0.0
d1ad8d6ef48f7835,1339131600,1,0,76729a829623e266,0,18,146,18.0,146.0,0.0,0.0,0.0,0.0,14.0,13.0,139.0,1.0,3,4.0,4,18,146,0.0,0.0,0.0,0.0,7a613f78dd7ee8f8,0.0,26.0,132.0,26.0,132.0,0.0,7.0,1.0,0.0,1.0,12.0,105.0,4.0,15.0,10.0,12.0,26.0,132.0,0.0,0.0,0.0,0.0
e835e9a4564db497,1521262800,0,0,492b202d2064e7a9,0,48,88,83.0,130.0,3.0,9.0,0.0,6.0,39.0,30.0,66.0,12.0,14,6.0,8,22,41,1.0,2.0,25.0,45.0,279566840aa55bf2,1.0,48.0,90.0,96.0,144.0,2.0,2.0,0.0,1.0,46.0,37.0,75.0,8.0,11.0,3.0,4.0,32.0,71.0,3.0,5.0,13.0,14.0
b6620177ac975ff2,1342846800,0,0,db1f2ed63b54b9a7,0,26,77,47.0,99.0,2.0,4.0,0.0,2.0,23.0,18.0,65.0,6.0,6,2.0,6,22,70,2.0,5.0,2.0,2.0,c80095f6092271a7,0.0,54.0,98.0,57.0,101.0,0.0,9.0,0.0,0.0,7.0,11.0,39.0,20.0,32.0,23.0,27.0,42.0,78.0,12.0,20.0,0.0,0.0
